x,y,label,time,motherx,mothery
6,49,1,1025,6,0
7,0,1,1024,7,1
7,1,1,935,7,2
7,2,1,850,7,3
7,3,1,769,7,4
7,4,1,692,7,5
7,5,1,619,7,6
7,6,1,550,7,7
7,7,1,485,7,8
7,8,1,424,7,9
7,9,1,367,7,10
7,10,1,314,7,11
7,11,1,265,7,12
7,12,1,220,6,12
7,13,1,186,6,13
7,14,1,150,6,14
7,15,1,118,6,15
7,16,1,93,6,16
7,17,1,122,6,17
7,18,1,154,6,18
7,19,1,191,6,19
7,20,1,232,6,20
7,21,1,277,6,21
7,22,1,324,6,22
7,23,1,378,7,22
7,24,1,436,7,23
7,25,1,498,7,24
7,26,1,564,7,25
7,27,1,634,7,26
7,28,1,708,7,27
7,29,1,786,7,28
7,30,1,868,7,29
7,31,1,954,7,30
7,32,1,1044,7,31
7,33,1,1138,7,32
7,34,1,1236,7,33
7,35,1,1336,7,34
7,36,1,1432,7,35
7,37,1,1524,7,36
7,38,1,1612,7,37
7,39,1,1696,7,38
7,40,1,1776,7,39
7,41,1,1832,7,42
7,42,1,1756,7,43
7,43,1,1676,7,44
7,44,1,1592,7,45
7,45,1,1503,7,46
7,46,1,1410,7,47
7,47,1,1313,7,48
7,48,1,1214,7,49
7,49,1,1117,7,0
8,0,1,1116,8,1
8,1,1,1023,8,2
8,2,1,934,8,3
8,3,1,849,8,4
8,4,1,768,8,5
8,5,1,691,8,6
8,6,1,618,8,7
8,7,1,549,8,8
8,8,1,484,8,9
8,9,1,423,8,10
8,10,1,366,8,11
8,11,1,313,8,12
8,12,1,264,7,12
8,13,1,227,7,13
8,14,1,187,7,14
8,15,1,151,7,15
8,16,1,123,7,16
8,17,1,156,7,17
8,18,1,192,7,18
8,19,1,233,7,19
8,20,1,278,7,20
8,21,1,327,7,21
8,22,1,377,7,22
8,23,1,435,8,22
8,24,1,497,8,23
8,25,1,563,8,24
8,26,1,633,8,25
8,27,1,707,8,26
8,28,1,785,8,27
8,29,1,867,8,28
8,30,1,953,8,29
8,31,1,1043,8,30
8,32,1,1137,8,31
8,33,1,1235,8,32
8,34,1,1335,8,33
8,35,1,1431,8,34
8,36,1,1523,8,35
8,37,1,1611,8,36
8,38,1,1695,8,37
8,39,1,1775,8,38
8,40,1,1850,8,39
8,41,1,1903,8,42
8,42,1,1831,8,43
8,43,1,1755,8,44
8,44,1,1675,8,45
8,45,1,1591,8,46
8,46,1,1502,8,47
8,47,1,1409,8,48
8,48,1,1312,8,49
8,49,1,1213,8,0
9,0,1,1211,9,1
9,1,1,1114,9,2
9,2,1,1021,9,3
9,3,1,932,9,4
9,4,1,847,9,5
9,5,1,766,9,6
9,6,1,689,9,7
9,7,1,616,9,8
9,8,1,547,9,9
9,9,1,482,9,10
